, base in(agency, city)
be locate in(city, area)
be locate in(city, center)
be locate in(city, city)
be locate in(city, community)
be locate in(city, country)
be locate in(city, destination)
be locate in(city, employer)
be locate in(city, location)
be locate in(city, member)
be locate in(city, place)
be locate in(city, region)
be locate in(city, state)
be locate in(city, town)
be locate in(community, area)
be locate in(community, city)
be locate in(community, community)
be locate in(community, destination)
be locate in(community, employer)
be locate in(community, place)
be locate in(community, region)
be locate in(community, state)
be locate in(community, town)
be locate in(company, area)
be locate in(company, center)
be locate in(company, city)
be locate in(company, community)
be locate in(company, destination)
be locate in(company, hotel)
be locate in(company, place)
be locate in(company, state)
be locate in(company, town)
be locate in(corporation, city)
be locate in(corporation, place)
be locate in(corporation, state)
be locate in(country, area)
be locate in(country, country)
be locate in(country, destination)
be locate in(country, location)
be locate in(country, place)
be locate in(country, region)
be locate in(destination, area)
be locate in(destination, city)
be locate in(destination, country)
be locate in(destination, destination)
be locate in(destination, place)
be locate in(destination, region)
be locate in(destination, state)
be locate in(distributor, city)
be locate in(division, city)
be locate in(employer, area)
be locate in(employer, city)
be locate in(employer, community)
be locate in(employer, place)
be locate in(employer, state)
be locate in(employer, town)
be locate in(expert, city)
be locate in(facility, area)
be locate in(facility, city)
be locate in(facility, community)
be locate in(facility, place)
be locate in(facility, state)
be locate in(facility, town)
be locate in(family, city)
be locate in(family, state)
be locate in(firm, area)
be locate in(firm, city)
be locate in(firm, community)
be locate in(firm, place)
be locate in(firm, state)
be locate in(firm, town)
be locate in(hotel, area)
be locate in(hotel, attraction)
be locate in(hotel, center)
be locate in(hotel, city)
be locate in(hotel, community)
be locate in(hotel, country)
be locate in(hotel, destination)
be locate in(hotel, location)
be locate in(hotel, place)
be locate in(hotel, state)
be locate in(hotel, town)
be locate in(hotel, village)
be locate in(institution, area)
be locate in(institution, center)
be locate in(institution, city)
be locate in(institution, community)
be locate in(institution, country)
be locate in(institution, destination)
be locate in(institution, location)
be locate in(institution, place)
be locate in(institution, state)
be locate in(institution, town)
be locate in(institution, university)
be locate in(island, area)
be locate in(island, body)
be locate in(island, country)
be locate in(island, region)
be locate in(leader, area)
be locate in(leader, city)
be locate in(leader, community)
be locate in(leader, place)
be locate in(leader, state)
be locate in(leader, town)
be locate in(location, area)
be locate in(location, city)
be locate in(location, country)
be locate in(location, place)
be locate in(location, state)
be locate in(manufacturer, city)
be locate in(member, area)
be locate in(member, city)
be locate in(member, community)
be locate in(member, place)
be locate in(member, region)
be locate in(member, state)
be locate in(member, town)
be locate in(organisation, city)
be locate in(organization, area)
be locate in(organization, city)
be locate in(organization, community)
be locate in(organization, place)
be locate in(organization, state)
be locate in(organization, town)
be locate in(partner, city)
be locate in(place, area)
be locate in(place, center)
be locate in(place, city)
be locate in(place, community)
be locate in(place, country)
be locate in(place, destination)
be locate in(place, employer)
be locate in(place, location)
be locate in(place, member)
be locate in(place, place)
be locate in(place, region)
be locate in(place, service)
be locate in(place, state)
be locate in(place, town)
be locate in(place, village)
be locate in(practice, city)
be locate in(project, city)
be locate in(provider, area)
be locate in(provider, city)
be locate in(provider, community)
be locate in(provider, place)
be locate in(provider, state)
be locate in(publication, city)
be locate in(region, country)
be locate in(region, place)
be locate in(region, state)
be locate in(resort, area)
be locate in(resort, city)
be locate in(resort, community)
be locate in(resort, country)
be locate in(resort, place)
be locate in(resort, state)
be locate in(school, area)
be locate in(school, city)
be locate in(school, community)
be locate in(school, country)
be locate in(school, place)
be locate in(school, state)
be locate in(school, town)
be locate in(service, city)
be locate in(service, community)
be locate in(service, place)
be locate in(service, state)
be locate in(site, area)
be locate in(site, city)
be locate in(site, community)
be locate in(site, country)
be locate in(site, place)
be locate in(site, state)
be locate in(solution, city)
be locate in(source, area)
be locate in(source, city)
be locate in(source, place)
be locate in(state, area)
be locate in(state, blend)
be locate in(state, center)
be locate in(state, community)
be locate in(state, country)
be locate in(state, destination)
be locate in(state, distributor)
be locate in(state, employer)
be locate in(state, family)
be locate in(state, leader)
be locate in(state, location)
be locate in(state, member)
be locate in(state, organisation)
be locate in(state, organization)
be locate in(state, piece)
be locate in(state, place)
be locate in(state, region)
be locate in(state, service)
be locate in(state, site)
be locate in(state, source)
be locate in(state, state)
be locate in(state, team)
be locate in(state, town)
be locate in(store, city)
be locate in(subsidiary, city)
be locate in(supplier, city)
be locate in(team, city)
be locate in(team, state)
be locate in(town, area)
be locate in(town, city)
be locate in(town, community)
be locate in(town, country)
be locate in(town, destination)
be locate in(town, employer)
be locate in(town, place)
be locate in(town, region)
be locate in(town, state)
be locate in(university, area)
be locate in(university, city)
be locate in(university, community)
be locate in(university, place)
be locate in(university, state)
be locate in(university, town)
be locate in(village, area)
be locate in(village, place)
be locate in(village, state)
be locate within(state, area)
be locate within(state, city)
be locate within(state, place)
be make by(agent, company)
be make by(agent, corporation)
be make by(drug, company)
be make by(drug, corporation)
be make by(inhibitor, company)
be make by(medication, company)
be make by(product, company)
be make from(dish, crop)
be make from(dish, food)
be make from(drug, crop)
be make from(drug, drug)
be make from(equipment, material)
be make from(food, crop)
be make from(food, food)
be make from(food, fruit)
be make from(food, ingredient)
be make from(food, plant)
be make from(food, product)
be make from(food, protein)
be make from(food, source)
be make from(food, vegetable)
be make from(gas, acid)
be make from(hormone, hormone)
be make from(hormone, substance)
be make from(ingredient, crop)
be make from(ingredient, food)
be make from(ingredient, ingredient)
be make from(ingredient, product)
be make from(ingredient, source)
be make from(material, material)
be make from(material, mineral)
be make from(material, product)
be make from(product, crop)
be make from(product, food)
be make from(product, fruit)
be make from(product, ingredient)
be make from(product, material)
be make from(product, mineral)
be make from(product, plant)
be make from(product, product)
be make from(product, protein)
be make from(product, source)
be make from(product, substance)
be make from(product, vegetable)
be make from(protein, ingredient)
be make from(protein, product)
be make from(source, crop)
be make from(source, food)
be make from(source, fruit)
be make from(source, ingredient)
be make from(source, plant)
be make from(source, product)
be make from(source, source)
be make from(substance, crop)
be make of(area, material)
be make of(area, metal)
be make of(device, material)
be make of(device, metal)
be make of(device, protein)
be make of(equipment, material)
be make of(food, crop)
be make of(food, food)
be make of(game, material)
be make of(instrument, material)
be make of(material, material)
be make of(material, metal)
be make of(material, mineral)
be make of(material, protein)
be make of(piece, material)
be make of(procedure, material)
be make of(product, food)
be make of(product, material)
be make of(product, metal)
be make of(product, product)
be make of(service, material)
be make of(structure, material)
be make of(substance, protein)
be make of(system, material)
be make of(tool, material)
be make primarily in(substance, organ)
be make up of(body, body)
be make with(dish, crop)
be make with(dish, food)
be make with(dish, ingredient)
be make with(dish, product)
be make with(dish, source)
be make with(dish, vegetable)
be make with(food, crop)
be make with(food, food)
be make with(food, ingredient)
be make with(food, product)
be make with(food, source)
be make with(food, vegetable)
be make with(product, food)
be make with(product, ingredient)
be make with(product, product)
be make with(product, source)
be name for(state, man)
be part of(agency, agency)
be part of(agency, area)
be part of(agency, employer)
be part of(agency, organization)
be part of(agency, source)
be part of(area, area)
be part of(area, city)
be part of(area, country)
be part of(area, place)
be part of(area, region)
be part of(area, state)
be part of(attraction, country)
be part of(browser, system)
be part of(center, agency)
be part of(center, organization)
be part of(center, source)
be part of(city, area)
be part of(city, city)
be part of(city, country)
be part of(city, place)
be part of(city, region)
be part of(city, state)
be part of(client, browser)
be part of(community, area)
be part of(community, city)
be part of(community, place)
be part of(company, company)
be part of(company, leader)
be part of(company, organization)
be part of(company, provider)
be part of(country, agency)
be part of(country, area)
be part of(country, body)
be part of(country, community)
be part of(country, country)
be part of(country, destination)
be part of(country, family)
be part of(country, institution)
be part of(country, island)
be part of(country, location)
be part of(country, member)
be part of(country, organisation)
be part of(country, organization)
be part of(country, partner)
be part of(country, place)
be part of(country, player)
be part of(country, process)
be part of(country, region)
be part of(country, state)
be part of(destination, area)
be part of(destination, country)
be part of(destination, place)
be part of(destination, region)
be part of(division, agency)
be part of(division, organization)
be part of(institution, agency)
be part of(institution, institution)
be part of(institution, organization)
be part of(institution, source)
be part of(island, area)
be part of(island, country)
be part of(island, island)
be part of(island, place)
be part of(island, region)
be part of(island, state)
be part of(leader, agency)
be part of(leader, company)
be part of(leader, organization)
be part of(leader, source)
be part of(location, country)
be part of(member, agency)
be part of(member, company)
be part of(member, country)
be part of(member, organization)
be part of(metal, protein)
be part of(mineral, protein)
be part of(nutrient, protein)
be part of(organization, agency)
be part of(organization, institution)
be part of(organization, organisation)
be part of(organization, organization)
be part of(organization, source)
be part of(place, area)
be part of(place, city)
be part of(place, country)
be part of(place, destination)
be part of(place, island)
be part of(place, member)
be part of(place, organization)
be part of(place, place)
be part of(place, region)
be part of(place, state)
be part of(process, factor)
be part of(product, browser)
be part of(provider, company)
be part of(provider, provider)
be part of(region, area)
be part of(region, country)
be part of(region, place)
be part of(region, region)
be part of(service, agency)
be part of(service, company)
be part of(service, service)
be part of(service, site)
be part of(site, source)
be part of(source, agency)
be part of(source, company)
be part of(source, organization)
be part of(state, area)
be part of(state, country)
be part of(state, destination)
be part of(state, place)
be part of(state, state)
be part of(system, system)
be part of(therapy, system)
be part of(town, area)
be part of(town, city)
be part of(town, country)
be part of(town, place)
be part of(town, state)
be part of(treatment, system)
be present in(nutrient, food)
be present in(vitamin, food)
be present in(vitamin, source)
be rich in(country, area)
be rich in(country, field)
be rich in(country, metal)
be rich in(crop, mineral)
be rich in(crop, nutrient)
be rich in(crop, source)
be rich in(crop, vitamin)
be rich in(food, acid)
be rich in(food, metal)
be rich in(food, mineral)
be rich in(food, nutrient)
be rich in(food, source)
be rich in(food, substance)
be rich in(food, vitamin)
be rich in(fruit, mineral)
be rich in(fruit, nutrient)
be rich in(fruit, source)
be rich in(fruit, vitamin)
be rich in(herb, metal)
be rich in(herb, mineral)
be rich in(herb, nutrient)
be rich in(herb, source)
be rich in(herb, substance)
be rich in(herb, vitamin)
be rich in(ingredient, mineral)
be rich in(ingredient, nutrient)
be rich in(ingredient, source)
be rich in(ingredient, vitamin)
be rich in(member, mineral)
be rich in(member, nutrient)
be rich in(plant, mineral)
be rich in(plant, nutrient)
be rich in(plant, source)
be rich in(plant, vitamin)
be rich in(product, acid)
be rich in(product, mineral)
be rich in(product, nutrient)
be rich in(product, source)
be rich in(source, acid)
be rich in(source, metal)
be rich in(source, mineral)
be rich in(source, nutrient)
be rich in(source, source)
be rich in(source, substance)
be rich in(source, vitamin)
be rich in(tree, nutrient)
be rich in(vegetable, metal)
be rich in(vegetable, mineral)
be rich in(vegetable, nutrient)
be rich in(vegetable, source)
be rich in(vegetable, substance)
be rich in(vegetable, vitamin)
be sell as(drug, drug)
be sell as(drug, medication)
be sell as(medication, drug)
be sell as(medication, medication)
be sell in(drug, country)
be sell in(product, country)
be sell to(company, company)
be short for(disease, disease)
be short for(hormone, hormone)
be short for(infection, disease)
be short for(technology, technology)
be situate in(area, state)
be situate in(city, country)
be situate in(city, state)
be situate in(country, area)
be situate in(country, destination)
be situate in(country, location)
be situate in(country, place)
be situate in(country, region)
be situate in(hotel, city)
be situate in(place, area)
be situate in(place, country)
be situate in(place, place)
be situate in(place, region)
be situate in(school, city)
be situate in(town, country)
be situate in(town, region)
be source of(crop, mineral)
be source of(crop, nutrient)
be source of(crop, vitamin)
be source of(fish, mineral)
be source of(fish, nutrient)
be source of(fish, source)
be source of(food, metal)
be source of(food, mineral)
be source of(food, nutrient)
be source of(food, source)
be source of(food, vitamin)
be source of(fruit, mineral)
be source of(fruit, nutrient)
be source of(fruit, vitamin)
be source of(ingredient, mineral)
be source of(ingredient, nutrient)
be source of(plant, vitamin)
be source of(product, mineral)
be source of(product, nutrient)
be source of(product, vitamin)
be source of(source, metal)
be source of(source, mineral)
be source of(source, nutrient)
be source of(source, vitamin)
be source of(vegetable, mineral)
be source of(vegetable, nutrient)
be source of(vegetable, source)
be source of(vegetable, vitamin)
be the branch of(area, area)
be the branch of(area, field)
be the branch of(field, area)
be the branch of(field, field)
be the capital of(agency, country)
be the capital of(area, country)
be the capital of(area, place)
be the capital of(area, state)
be the capital of(center, country)
be the capital of(center, state)
be the capital of(city, area)
be the capital of(city, city)
be the capital of(city, community)
be the capital of(city, country)
be the capital of(city, destination)
be the capital of(city, island)
be the capital of(city, member)
be the capital of(city, place)
be the capital of(city, region)
be the capital of(city, state)
be the capital of(community, country)
be the capital of(community, state)
be the capital of(destination, country)
be the capital of(destination, place)
be the capital of(destination, state)
be the capital of(hotel, state)
be the capital of(location, country)
be the capital of(place, area)
be the capital of(place, country)
be the capital of(place, destination)
be the capital of(place, island)
be the capital of(place, place)
be the capital of(place, region)
be the capital of(place, state)
be the capital of(system, country)
be the capital of(town, country)
be the capital of(town, destination)
be the capital of(town, island)
be the capital of(town, place)
be the capital of(town, region)
be the capital of(town, state)
be the capital of(village, state)
be the capitol of(city, country)
be the heart of(city, country)
be the home of(city, attraction)
be the home of(city, company)
be the home of(city, employer)
be the home of(city, institution)
be the home of(city, organization)
be the home of(city, place)
be the home of(city, university)
be the home of(country, activity)
be the home of(country, award)
be the home of(country, game)
be the home of(country, sport)
be the home of(place, institution)
be the home of(town, employer)
be the home of(town, institution)
be the home of(town, university)
be use in(agent, product)
be use in(chemical, product)
be use in(crop, food)
be use in(drug, disease)
be use in(food, food)
be use in(fruit, product)
be use in(gas, application)
be use in(gas, process)
be use in(gas, service)
be use in(herb, activity)
be use in(herb, art)
be use in(herb, food)
be use in(herb, product)
be use in(hormone, disease)
be use in(ingredient, activity)
be use in(ingredient, art)
be use in(ingredient, food)
be use in(ingredient, product)
be use in(material, material)
be use in(material, product)
be use in(metal, application)
be use in(metal, device)
be use in(metal, equipment)
be use in(metal, industry)
be use in(metal, instrument)
be use in(metal, material)
be use in(metal, process)
be use in(metal, product)
be use in(metal, source)
be use in(metal, tool)
be use in(mineral, material)
be use in(mineral, process)
be use in(mineral, product)
be use in(plant, food)
be use in(product, activity)
be use in(product, art)
be use in(product, country)
be use in(product, food)
be use in(product, process)
be use in(product, product)
be use in(source, country)
be use in(source, food)
be use in(source, product)
be use in(substance, material)
be use in(substance, product)
be use in(vegetable, food)
become(agency, agency)
become(art, art)
become(browser, browser)
become(city, city)
become(city, hotel)
become(company, company)
become(country, country)
become(disease, disease)
become(disorder, disease)
become(food, food)
become(gas, gas)
become(illness, disease)
become(leader, leader)
become(leader, member)
become(man, leader)
become(man, man)
become(man, member)
become(organization, agency)
become(organization, organization)
become(product, food)
become(sport, sport)
become(state, state)
become(time, time)
become capital of(city, country)
become capital of(city, place)
become capital of(city, state)
become capital of(place, country)
become capital of(town, country)
become member of(country, agency)
become member of(country, body)
become member of(country, family)
become member of(country, institution)
become member of(country, leader)
become member of(country, member)
become member of(country, organisation)
become member of(country, organization)
become member of(country, process)
become member of(place, organization)
become part of(city, country)
become part of(country, area)
become part of(country, country)
become part of(country, state)
become part of(island, country)
become part of(place, country)
become part of(region, country)
become part of(state, country)
call(agency, cause)
call(agency, disease)
call(agency, disorder)
call(agency, factor)
call(agency, risk)
call(book, book)
call(book, event)
call(book, time)
call(browser, guide)
call(browser, technology)
call(country, fruit)
call(disease, disease)
call(drug, drug)
call(game, game)
call(game, sport)
call(leader, country)
call(leader, disease)
call(leader, leader)
call(leader, man)
call(magazine, country)
call(man, country)
call(man, leader)
call(man, man)
call(organization, disease)
call(procedure, procedure)
call(publication, country)
call(publication, place)
call(publication, state)
call(source, disease)
call(source, factor)
call(sport, activity)
call(sport, game)
call(sport, sport)
call(treatment, treatment)
call(village, activity)
call(village, area)
call(village, city)
call(village, community)
call(village, event)
call(village, fruit)
call(village, game)
call(village, place)
call(village, time)
call(village, town)
call(village, village)
call(village, work)
call on(organization, country)
call to(service, country)
can be find in(metal, product)
can be find in(mineral, food)
can be find in(mineral, product)
can be find in(mineral, source)
can be find in(mineral, vegetable)
can be find in(nutrient, food)
can be find in(nutrient, product)
can be find in(nutrient, source)
can be find in(nutrient, vegetable)
can be find in(vitamin, food)
can be find in(vitamin, organ)
can be find in(vitamin, product)
can be find in(vitamin, source)
can be find in(vitamin, vegetable)
comprise(area, country)
comprise(association, country)
comprise(country, division)
comprise(destination, country)
comprise(institution, country)
comprise(material, material)
comprise(metal, material)
comprise(metal, metal)
comprise(organization, country)
comprise(region, country)
consist of(body, body)
consist of(food, food)
consist of(material, material)
consist of(region, country)
consist of(region, state)
consist of(solution, protein)
consist of(treatment, agent)
consist of(treatment, drug)
contain(acid, acid)
contain(agent, gas)
contain(agent, hormone)
contain(agent, mineral)
contain(blend, herb)
contain(blend, ingredient)
contain(chemical, chemical)
contain(chemical, gas)
contain(company, drug)
contain(crop, chemical)
contain(crop, drug)
contain(crop, metal)
contain(crop, mineral)
contain(crop, nutrient)
contain(crop, protein)
contain(crop, source)
contain(crop, substance)
contain(crop, vitamin)
contain(device, metal)
contain(drug, agent)
contain(drug, chemical)
contain(drug, drug)
contain(drug, food)
contain(drug, gas)
contain(drug, medication)
contain(drug, product)
contain(drug, source)
contain(drug, substance)
contain(effect, gas)
contain(factor, drug)
contain(factor, gas)
contain(factor, substance)
contain(fish, metal)
contain(fish, mineral)
contain(fish, nutrient)
contain(food, acid)
contain(food, agent)
contain(food, chemical)
contain(food, crop)
contain(food, drug)
contain(food, factor)
contain(food, food)
contain(food, hormone)
contain(food, ingredient)
contain(food, material)
contain(food, member)
contain(food, metal)
contain(food, mineral)
contain(food, nutrient)
contain(food, product)
contain(food, protein)
contain(food, source)
contain(food, substance)
contain(food, vitamin)
contain(fruit, agent)
contain(fruit, chemical)
contain(fruit, metal)
contain(fruit, mineral)
contain(fruit, nutrient)
contain(fruit, source)
contain(fruit, substance)
contain(fruit, vitamin)
contain(gas, gas)
contain(gas, protein)
contain(herb, acid)
contain(herb, agent)
contain(herb, chemical)
contain(herb, drug)
contain(herb, hormone)
contain(herb, ingredient)
contain(herb, mineral)
contain(herb, nutrient)
contain(herb, source)
contain(herb, substance)
contain(herb, vitamin)
contain(ingredient, acid)
contain(ingredient, agent)
contain(ingredient, chemical)
contain(ingredient, drug)
contain(ingredient, food)
contain(ingredient, ingredient)
contain(ingredient, mineral)
contain(ingredient, nutrient)
contain(ingredient, product)
contain(ingredient, protein)
contain(ingredient, source)
contain(ingredient, substance)
contain(ingredient, vitamin)
contain(material, chemical)
contain(material, gas)
contain(material, ingredient)
contain(material, material)
contain(material, metal)
contain(material, mineral)
contain(material, nutrient)
contain(material, substance)
contain(medication, drug)
contain(medication, medication)
contain(member, mineral)
contain(member, nutrient)
contain(metal, metal)
contain(mineral, metal)
contain(mineral, mineral)
contain(mineral, nutrient)
contain(plant, acid)
contain(plant, agent)
contain(plant, chemical)
contain(plant, drug)
contain(plant, ingredient)
contain(plant, mineral)
contain(plant, nutrient)
contain(plant, protein)
contain(plant, source)
contain(plant, substance)
contain(plant, vitamin)
contain(product, acid)
contain(product, agent)
contain(product, chemical)
contain(product, drug)
contain(product, factor)
contain(product, food)
contain(product, gas)
contain(product, herb)
contain(product, hormone)
contain(product, ingredient)
contain(product, material)
contain(product, medication)
contain(product, metal)
contain(product, mineral)
contain(product, nutrient)
contain(product, plant)
contain(product, product)
contain(product, protein)
contain(product, source)
contain(product, substance)
contain(product, vitamin)
contain(protein, metal)
contain(protein, mineral)
contain(protein, nutrient)
contain(solution, mineral)
contain(source, acid)
contain(source, agent)
contain(source, chemical)
contain(source, drug)
contain(source, factor)
contain(source, food)
contain(source, gas)
contain(source, hormone)
contain(source, ingredient)
contain(source, material)
contain(source, member)
contain(source, metal)
contain(source, mineral)
contain(source, nutrient)
contain(source, product)
contain(source, protein)
contain(source, source)
contain(source, substance)
contain(source, vitamin)
contain(substance, chemical)
contain(substance, drug)
contain(substance, factor)
contain(substance, gas)
contain(substance, metal)
contain(substance, mineral)
contain(substance, nutrient)
contain(substance, product)
contain(substance, substance)
contain(treatment, drug)
contain(tree, nutrient)
contain(tree, substance)
contain(tree, vitamin)
contain(vegetable, agent)
contain(vegetable, chemical)
contain(vegetable, effect)
contain(vegetable, ingredient)
contain(vegetable, metal)
contain(vegetable, mineral)
contain(vegetable, nutrient)
contain(vegetable, source)
contain(vegetable, substance)
contain(vegetable, vitamin)
cover(city, area)
cover(city, place)
cover(destination, place)
cover(food, crop)
cover(food, food)
cover(food, fruit)
cover(food, herb)
cover(food, ingredient)
cover(food, plant)
cover(food, product)
cover(food, vegetable)
cover(ingredient, crop)
cover(ingredient, food)
cover(ingredient, fruit)
cover(ingredient, plant)
cover(place, area)
cover(place, place)
cover(product, crop)
cover(product, food)
cover(product, fruit)
cover(product, plant)
cover(source, crop)
cover(source, food)
cover(source, fruit)
cover(source, plant)
cover(study, service)
cover(vegetable, crop)
cover(vegetable, food)
cover(vegetable, fruit)
exist in(disease, animal)
exist in(disease, country)
exist in(disease, state)
exist in(factor, country)
exist in(infection, country)
exist in(institution, country)
exist in(practice, country)
exist in(system, country)
find in(acid, food)
find in(acid, source)
find in(acid, vegetable)
find in(animal, country)
find in(disease, animal)
find in(disease, country)
find in(disease, place)
find in(disease, state)
find in(drug, country)
find in(infection, country)
find in(mineral, food)
find in(mineral, product)
find in(nutrient, food)
find in(nutrient, fruit)
find in(nutrient, vegetable)
find in(organization, area)
find in(organization, region)
find in(plant, state)
find in(project, area)
find in(protein, food)
find in(source, food)
find in(substance, food)
find in(village, area)
find in(village, country)
find in(village, place)
find in(village, region)
find in(vitamin, food)
find in(vitamin, fruit)
find in(vitamin, vegetable)
form in(village, city)
form in(village, country)
form in(village, place)
form in(village, state)
found in(organization, city)
found in(village, city)
found in(village, country)
found in(village, place)
found in(village, state)
grow in(crop, country)
grow in(food, country)
grow in(fruit, country)
grow in(herb, area)
grow in(herb, country)
grow in(ingredient, country)
grow in(member, country)
grow in(plant, area)
grow in(plant, country)
grow in(plant, place)
grow in(product, country)
grow in(source, country)
grow in(tree, country)
grow luxuriantly in(crop, state)
grow luxuriantly in(plant, state)
have join(country, agency)
have join(country, body)
have join(country, country)
have join(country, institution)
have join(country, member)
have join(country, organisation)
have join(country, organization)
have join(state, place)
have join(state, state)
headquarter in(company, city)
headquarter in(organization, city)
headquarter in(village, state)
hold in(activity, city)
hold in(event, city)
hold in(event, country)
hold in(event, place)
hold in(event, state)
hold in(event, time)
hold in(state, time)
join(area, area)
join(area, place)
join(area, state)
join(artist, artist)
join(attraction, city)
join(author, town)
join(band, city)
join(city, area)
join(city, city)
join(city, company)
join(city, organization)
join(city, place)
join(city, state)
join(company, association)
join(company, company)
join(company, corporation)
join(company, organization)
join(country, agency)
join(country, body)
join(country, community)
join(country, company)
join(country, country)
join(country, destination)
join(country, development)
join(country, event)
join(country, family)
join(country, firm)
join(country, industry)
join(country, institution)
join(country, instrument)
join(country, island)
join(country, leader)
join(country, member)
join(country, organisation)
join(country, organization)
join(country, partner)
join(country, place)
join(country, player)
join(country, process)
join(country, project)
join(country, region)
join(country, source)
join(country, system)
join(country, tool)
join(crop, area)
join(crop, center)
join(crop, city)
join(crop, community)
join(crop, hotel)
join(crop, place)
join(crop, town)
join(crop, village)
join(destination, country)
join(destination, organization)
join(editor, city)
join(effect, country)
join(engine, city)
join(fish, city)
join(island, country)
join(island, organization)
join(member, agency)
join(member, company)
join(member, country)
join(member, institution)
join(member, organisation)
join(member, organization)
join(organization, organization)
join(partner, city)
join(partner, community)
join(place, agency)
join(place, area)
join(place, body)
join(place, city)
join(place, country)
join(place, institution)
join(place, organisation)
join(place, organization)
join(place, place)
join(place, state)
join(plant, area)
join(plant, city)
join(plant, community)
join(plant, hotel)
join(plant, place)
join(plant, town)
join(plant, village)
join(player, city)
join(state, area)
join(state, city)
join(state, country)
join(state, institution)
join(state, organization)
join(state, place)
join(state, state)
join(system, area)
join(technology, country)
join(tool, city)
join(tool, country)
join(writer, city)
join(writer, community)
live in(animal, area)
live in(animal, country)
live in(animal, place)
live in(animal, region)
live in(animal, state)
live in(artist, area)
live in(artist, city)
live in(artist, country)
live in(artist, destination)
live in(artist, place)
live in(artist, state)
live in(artist, town)
live in(author, area)
live in(author, city)
live in(author, community)
live in(author, country)
live in(author, place)
live in(author, state)
live in(author, town)
live in(band, area)
live in(band, city)
live in(band, country)
live in(band, destination)
live in(band, place)
live in(band, state)
live in(band, town)
live in(bird, country)
live in(book, city)
live in(book, country)
live in(city, city)
live in(city, state)
live in(consultant, city)
live in(director, city)
live in(editor, area)
live in(editor, city)
live in(editor, place)
live in(event, city)
live in(expert, city)
live in(family, area)
live in(family, city)
live in(family, country)
live in(family, place)
live in(family, state)
live in(family, town)
live in(film, city)
live in(food, country)
live in(game, city)
live in(game, state)
live in(graduate, area)
live in(graduate, city)
live in(graduate, country)
live in(graduate, place)
live in(graduate, state)
live in(graduate, town)
live in(institution, city)
live in(leader, city)
live in(man, area)
live in(man, city)
live in(man, country)
live in(man, place)
live in(man, state)
live in(man, town)
live in(manufacturer, city)
live in(member, area)
live in(member, city)
live in(member, community)
live in(member, country)
live in(member, place)
live in(member, state)
live in(member, town)
live in(partner, city)
live in(player, city)
live in(player, country)
live in(professor, area)
live in(professor, city)
live in(professor, place)
live in(professor, state)
live in(project, city)
live in(project, country)
live in(school, city)
live in(speaker, city)
live in(specialist, city)
live in(state, city)
live in(state, place)
live in(state, state)
live in(student, city)
live in(student, country)
live in(student, state)
live in(teacher, city)
live in(teacher, country)
live in(teacher, place)
live in(teacher, state)
live in(team, city)
live in(time, area)
live in(time, city)
live in(time, country)
live in(time, place)
live in(time, region)
live in(tool, city)
live in(town, city)
live in(town, state)
live in(vegetable, country)
live in(village, city)
live in(work, city)
live in(work, country)
live in(writer, area)
live in(writer, center)
live in(writer, city)
live in(writer, community)
live in(writer, country)
live in(writer, place)
live in(writer, state)
live in(writer, town)
locate in(area, state)
locate in(city, state)
locate in(company, city)
locate in(company, place)
locate in(company, town)
locate in(facility, state)
locate in(firm, city)
locate in(manufacturer, state)
locate in(organization, state)
locate in(place, state)
locate in(village, state)
look like(browser, browser)
look like(city, city)
look like(city, country)
look like(city, place)
look like(device, device)
look like(game, game)
look like(instrument, device)
look like(place, city)
look like(place, country)
look like(sport, game)
look like(system, system)
look like(vegetable, vegetable)
make from(drug, crop)
make from(food, crop)
make from(food, food)
make from(food, ingredient)
make from(food, plant)
make from(food, product)
make from(food, source)
make from(food, vegetable)
make from(material, material)
make from(product, crop)
make from(product, food)
make from(product, ingredient)
make from(product, material)
make from(product, plant)
make from(product, product)
make from(product, source)
make from(product, vegetable)
make from(source, crop)
make from(source, food)
make from(village, material)
make of(country, disease)
make of(device, material)
make of(equipment, material)
make of(food, food)
make of(game, material)
make of(instrument, metal)
make of(material, material)
make of(piece, material)
make of(product, material)
make of(product, metal)
make of(village, material)
make surf(website, place)
name(city, place)
name(fruit, vegetable)
name(leader, country)
name(magazine, city)
name(man, country)
name(organization, city)
name(publication, city)
name(publication, place)
name(village, city)
name(village, community)
name(village, place)
name(village, town)
own(company, company)
own(company, engine)
own(company, publication)
own(corporation, company)
own(engine, engine)
own(engine, service)
own(leader, company)
own(service, engine)
own(site, engine)
reside at(leader, city)
reside in(graduate, city)
reside in(graduate, state)
reside in(member, area)
reside in(member, city)
reside in(member, place)
reside in(member, state)
reside in(member, town)
stand for(acid, acid)
stand for(agency, agency)
stand for(agency, organization)
stand for(application, service)
stand for(application, technology)
stand for(approach, approach)
stand for(association, organization)
stand for(device, device)
stand for(disease, disease)
stand for(disease, disorder)
stand for(disease, illness)
stand for(disease, infection)
stand for(disorder, disease)
stand for(disorder, disorder)
stand for(hormone, hormone)
stand for(illness, disease)
stand for(illness, illness)
stand for(infection, disease)
stand for(infection, infection)
stand for(material, material)
stand for(measure, measure)
stand for(measure, system)
stand for(measure, technology)
stand for(measure, tool)
stand for(organization, agency)
stand for(organization, association)
stand for(organization, organization)
stand for(procedure, procedure)
stand for(process, process)
stand for(process, service)
stand for(service, application)
stand for(service, service)
stand for(service, system)
stand for(service, technology)
